name,city,distinct,detail,address,detail_address,franchise,franchise_type,biz_code,위도,경도,rp_key
슈퍼브커피로스터스점,서울특별시,강서구,마곡중앙5로,6,마곡중앙5로6,FALSE,,,37.56398799,126.9986304,
재신,서울특별시,강서구,초원로,84,초원로84,FALSE,,,37.57143922,126.9983926,
칸데레커피,서울특별시,강서구,까치산로,154,까치산로154,FALSE,,,37.57963486,126.9715617,
은소와,서울특별시,강서구,화곡로,186-14,화곡로186-14,FALSE,,,37.57446362,126.9736013,
아로하커피,서울특별시,강서구,마곡중앙8로,90,마곡중앙8로90,FALSE,,,37.57134884,126.9917366,
메가엠지씨커피가양,서울특별시,강서구,공항대로45길,15,공항대로45길15,TRUE,메가,,37.57918484,126.9736336,
카페인컬처,서울특별시,강서구,공항대로,213,공항대로213,FALSE,,,37.57607895,126.9902757,
온더루반,서울특별시,강서구,마곡중앙4로,18,마곡중앙4로18,FALSE,,,37.60502304,126.9649723,
메가엠지씨커피강서,서울특별시,강서구,공항대로61길,22,공항대로61길22,TRUE,메가,,37.57309416,126.9738168,
민쓰커피,서울특별시,강서구,화곡로61길,64,화곡로61길64,FALSE,,,37.57172736,126.9934119,
더블코드,서울특별시,강서구,방화동로3길,35,방화동로3길35,FALSE,,,37.56973368,126.974882,
커피베이염창동투웨니,서울특별시,강서구,공항대로81길,35,공항대로81길35,FALSE,,,37.57085323,126.9908198,
하삼동커피,서울특별시,강서구,강서로18길,24,강서로18길24,FALSE,,,37.57207716,126.9794997,
할리스커피,서울특별시,강서구,하늘길,112,하늘길112,TRUE,할리스,,37.57971867,126.9871054,
커피향바람에날리고,서울특별시,강서구,화곡로31길,6,화곡로31길6,FALSE,,,37.57352787,127.0198667,
샐로브레,서울특별시,강서구,까치산로,119,까치산로119,FALSE,,,37.56906854,126.9841189,
데이롱카페우,서울특별시,강서구,강서로45길,33725,강서로45길33725,FALSE,,,37.57682679,126.9904794,
빽다방화곡중앙,서울특별시,강서구,가로공원로76길,75,가로공원로76길75,TRUE,빽다방,,37.58225116,126.9999887,
카페조이,서울특별시,강서구,양천로49길,29,양천로49길29,FALSE,,,37.51014175,127.0240913,
커피브레이크,서울특별시,강서구,곰달래로31길,37,곰달래로31길37,FALSE,,,37.58164742,127.00437,
오버도즈,서울특별시,강서구,화곡로68길,82,화곡로68길82,FALSE,,,37.57020475,127.0051391,
커피사피엔스등촌데시앙플렉스점,서울특별시,강서구,양천로,424,양천로424,FALSE,,,37.6081831,126.9576093,
에이치제이마녀공방,서울특별시,강서구,초록마을로37길,3,초록마을로37길3,FALSE,,,37.5772055,127.0046754,
우리동네베이커리,서울특별시,강서구,강서로33길,83,강서로33길83,FALSE,,,37.5723492,126.9970795,
담연당,서울특별시,강서구,공항대로61길,39,공항대로61길39,FALSE,,,37.56819937,126.9646726,
아페,서울특별시,강서구,개화동로,565,개화동로565,FALSE,,,37.57041171,127.0095537,
그레잇,서울특별시,강서구,공항대로,220,공항대로220,FALSE,,,37.57088061,127.0000566,
프로그빈FrogBean,서울특별시,강서구,까치산로,94,까치산로94,FALSE,,,37.5826469,126.9871162,
카페오알,서울특별시,강서구,공항대로71길,9,공항대로71길9,FALSE,,,37.57541261,127.001415,
하이커피,서울특별시,강서구,공항대로,222,공항대로222,FALSE,,,37.56062671,126.8465829,
커피베이,서울특별시,강서구,발산로,24,발산로24,FALSE,,,37.55526526,126.9185267,
더썬카페,서울특별시,강서구,강서로74길,52,강서로74길52,FALSE,,,37.57262727,126.9826692,
공차홈플러스,서울특별시,강서구,양천로,431,양천로431,TRUE,공차,,37.5717086,126.9852163,
매머드익스프레스염창역점,서울특별시,강서구,공항대로,637,공항대로637,TRUE,메머드,,37.5749621,126.9977812,
브루클린커피,서울특별시,강서구,강서로52길,16,강서로52길16,FALSE,,,37.57577266,126.9907852,
